Scholarship Name,Deadline,Amount,Description,Location,Years,Link
"Scholarship for Children of Disabled, Deceased, Combat and POW/MIA Veterans",Unknown deadline,500,"Applicant must be the child of a deceased, disabled, or combat veteran or veteran listed as a POW/MIA. The veteran must have been a legal resident of North Carolina at the time of entry into service, or the child must have been born in North Carolina and resided there continuously since birth. Applicant must be attending a school in North Carolina.",North Carolina,"['College freshman', 'College sophomore', 'College senior', 'College junior']",https://www.collegescholarships.org/financial-aid/scholarship/scholarship-for-children-of-disabled-deceased-combat-and-powmia-veterans
American Legion-Alabama Scholarship,Unknown deadline,850,"Applicant must be the child or grandchild of a veteran of World War I, World War II, Korean Conflict, Vietnam Conflict, Beirut/Granada Emergency, or Panama Emergency. Applicant must attend an Alabama state-supported college. Self-addressed, stamped envelope is required to receive application.",Alabama,"['College senior', 'College junior', 'College sophomore', 'College freshman']",https://www.collegescholarships.org/financial-aid/scholarship/american-legion-alabama-scholarship
Outstanding Senior Baseball Player Scholarship,Unknown deadline,500,"Applicant must be a participant in the Iowa American Legion Baseball Tournament and portray outstanding sportsmanship, team play, and athletic ability. Selection is by the State Baseball Committee.",Iowa,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/outstanding-senior-baseball-player-scholarship
Oratorical Speech Scholarship Contest,Unknown deadline,500,Applicant must be a finalist in the oratorical contest.,Michigan,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/oratorical-speech-scholarship-contest
Oratorical Contest Scholarship,Unknown deadline,500,Applicant must be a winner of the Nebraska Department Oratorical Contest.,Nebraska,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/oratorical-contest-scholarship
Medical and Teaching Scholarship,Unknown deadline,500,"Applicant must be a high school senior or graduate under 20 years of age, a New York state resident, the child or grandchild of a veteran, and be pursuing a career in medical or teaching fields.",New York,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/medical-and-teaching-scholarship
Verne R. Dapp Memorial Scholarship,Unknown deadline,500,"Applicant must be a U.S. citizen or permanent resident enrolled in a course of study relating to a degree in nuclear science and technology. Applicant must be sponsored by an ANS local section, division, student branch, committee member or organization member.",No Geographic Restrictions,"['Doctoral-level study', 'Master&#039;s-level study']",https://www.collegescholarships.org/financial-aid/scholarship/verne-r-dapp-memorial-scholarship
Dental Student Scholarships,Unknown deadline,500,"Applicant must be a U.S. citizen and have a minimum 3.0 GPA. Selection is based upon financial need, academic achievement, and personal and professional goals. Two reference forms from two dental school representatives (i.e., professor or academic advisor) in support of the application must be submitted as part of the application form.",No Geographic Restrictions,"['College junior', 'College sophomore', 'College senior']",https://www.collegescholarships.org/financial-aid/scholarship/dental-student-scholarships
Halton Foundation/Caterpillar Matching Grant,Unknown deadline,500,Applicant must be employed by the Halton Company.,"Washington, Oregon","['College sophomore', 'College freshman']",https://www.collegescholarships.org/financial-aid/scholarship/halton-foundationcaterpillar-matching-grant
Maxine Williams Scholarship,Unknown deadline,500,"Selection is based upon interest in and a commitment to a career in medical assisting, financial need, academic ability, and demonstration of involvement in school and community. Award is limited to individuals enrolled in a post-secondary program accredited by the Commission on Accreditation of Allied Health Education Programs (CAAHEP). Students studying other allied health professions or planning to enter medical school are not eligible.",No Geographic Restrictions,"['College freshman', 'College sophomore']",https://www.collegescholarships.org/financial-aid/scholarship/maxine-williams-scholarship
Navy Supply Corps Foundation Scholarship,Unknown deadline,500,"Applicant must be the child of a Navy Supply Corps Officer (including Warrant) or associated supply enlisted ratings on active duty, in reserve status, retired-with-pay, or deceased, and have a minimum 3.0 GPA. Selection is based upon scholastic ability, character, leadership, and financial need.",No Geographic Restrictions,"['College freshman', 'College senior', 'College sophomore', 'College junior']",https://www.collegescholarships.org/financial-aid/scholarship/navy-supply-corps-foundation-scholarship
NYS Regents Awards for Children of Deceased and Disabled Veterans,Unknown deadline,450,"Applicant must be enrolled full time in a New York state school or college, be a New York resident at the start of the term for which payment is requested, and be the child of a veteran who served in the U.S. Armed Forces during specified periods of war or national emergency, and, as a result of service, died or suffered a 40% or more disability, was a POW, or is currently classified as MIA. Veteran parent must have been a New York resident at the time of entry into service or at death.",New York,"['High school sophomore', 'High school junior', 'High school freshman', 'College sophomore', 'College senior', 'College freshman', 'College junior', 'High school senior']",https://www.collegescholarships.org/financial-aid/scholarship/nys-regents-awards-for-children-of-deceased-and-disabled-veterans
"Memorial Scholarship for Families of Deceased Police Officers, Firefighters, Peace Officers, and Emergency Medical Service Workers",Unknown deadline,500,"Applicant must be the child or spouse of a New York police officer, firefighter, or peace officer and a New York resident attending a New York school at the start of the term for which payment is requested. Parent must have died as a result of injury sustained in the line of duty. Award is actual tuition cost or SUNY undergraduate tuition, whichever is less.",New York,"['College sophomore', 'College senior', 'College freshman', 'College junior']",https://www.collegescholarships.org/financial-aid/scholarship/memorial-scholarship-for-families-of-deceased-police-officers-firefighters-peace-officers-and-emergency-medical-service-workers
Sarah Bradley Tyson Memorial Fellowship,Unknown deadline,500,"Applicant must be a woman who is properly qualified and has proven ability by several years experience. Awards are made in recognition of leadership in cooperative extension work and initiative in scientific research. Applicant must submit a letter of application, plan of study, testimonials of character, ability, personality, small recent photograph, and scholarship, theses, papers or reports, and a certificate from the registrar of degrees awarded.",No Geographic Restrictions,"['Doctoral-level study', 'Master&#039;s-level study', 'College senior']",https://www.collegescholarships.org/financial-aid/scholarship/sarah-bradley-tyson-memorial-fellowship
Suburban Hospital Casey Scholarships,Unknown deadline,500,"Applicant must be a current employee who is enrolled in a nursing or allied health (e.g. radiology technology, respiratory therapy, medical technology, physical therapy, physical therapy assistant, occupational therapy, or physician assistant) undergraduate program or a non-employee who is enrolled in a nursing program leading to a B.S.N. or higher. Minimum 2.5 GPA, two letters of recommendation, transcript, and letter of acceptance/good standing required. Award requires a work commitment at Suburban Hospital in Bethesda, MD, upon completion of degree program.",No Geographic Restrictions,"['Other postgraduate-level study', 'Master&#039;s-level study', 'College junior', 'College senior', 'Doctoral-level study']",https://www.collegescholarships.org/financial-aid/scholarship/suburban-hospital-casey-scholarships
Full-time Employee Scholarship,Unknown deadline,600,Applicant must be a U.S. citizen and a full-time aviation career employee. Part-time study must be directed toward enhancing job skills.,No Geographic Restrictions,"['Master&#039;s-level study', 'College junior', 'College sophomore', 'College senior', 'Doctoral-level study', 'College freshman']",https://www.collegescholarships.org/financial-aid/scholarship/full-time-employee-scholarship
Elks National Foundation Most Valuable Student Award,Unknown deadline,500,"Applicant must be a high school senior who is a citizen of the United States. Selection is based upon scholarship, leadership, and financial need.",United States,['High school senior'],https://www.collegescholarships.org/financial-aid/scholarship/elks-national-foundation-most-valuable-student-award
National Honor Society Scholarship,Unknown deadline,500,"Applicant must be a high school senior with a minimum 3.0 GPA who is a member in good standing of their NHS chapter and has been nominated by his or her local chapter. Each National Honor Society chapter may nominate two applicants based on leadership, scholarship, character, and service. Contact your local National Honor Society adviser for further information.",No Geographic Restrictions,['High school senior'],https://www.collegescholarships.org/financial-aid/scholarship/national-honor-society-scholarship
California Farm Bureau Scholarship,Unknown deadline,500,"Selection is based upon scholastic achievement, career goals, leadership skills, and determination. Scholarship must be used at a four-year college or university in California.",California,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/california-farm-bureau-scholarship
Albert W. Dent Scholarship,Unknown deadline,500,Applicant must be a minority who is a full-time student entering the fall term of their final year of classroom work in a healthcare management graduate program. Applicant must be a student associate of the American College of Healthcare Executives. Financial aid must be demonstrated.,No Geographic Restrictions,"['Master&#039;s-level study', 'Doctoral-level study']",https://www.collegescholarships.org/financial-aid/scholarship/albert-w-dent-scholarship
David C. Goodwin Memorial Scholarship,Unknown deadline,500,Applicant must be a high school junior participating in the New Jersey American Legion Baseball Program.,New Jersey,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/david-c-goodwin-memorial-scholarship
AMS Undergraduate Scholarship,Unknown deadline,500,"Applicant must be enrolled as a full-time student in an accredited U.S. institution with a minimum 3.25 GPA, and an intention to make atmospheric science a career. Selection is based upon academic excellence and achievement.",United States,['College senior'],https://www.collegescholarships.org/financial-aid/scholarship/ams-undergraduate-scholarship
Scholarship for Professional Degree Candidates,Unknown deadline,500,"Applicant must attend a school accredited by the National Architectural Accrediting Board or recognized by the Royal Architectural Institute of Canada. Selection is based upon statement of goals, academic performance, recommendations, and financial need. Application available only through schools.",No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/scholarship-for-professional-degree-candidates
J. Clawson Mills Fellowship,Unknown deadline,500,"Applicant must submit typed application, full resume of education and employment, official transcripts, and a two-part statement not to exceed 1,000 words. Preference is given to mature scholars of demonstrated ability. Award is for study or research at the Metropolitan Museum of Art.",No Geographic Restrictions,"['Other postgraduate-level study', 'Doctoral-level study']",https://www.collegescholarships.org/financial-aid/scholarship/j-clawson-mills-fellowship
Fukunaga Scholarship Foundation,Unknown deadline,500,"Applicant must be a resident of Hawaii (for at least one year), rank in top quarter of class, have a minimum 3.0 GPA, and show a financial need. Must also demonstrate the ability, industriousness, dependability, and determination needed to succeed in business within the Pacific Basin area. Official high school/college transcripts through first semester of current year, two letters of recommendation, FAFSA Student Aid Report, and SAT Reasoning/ACT scores required.",Hawaii,"['College senior', 'College junior', 'College sophomore', 'College freshman']",https://www.collegescholarships.org/financial-aid/scholarship/fukunaga-scholarship-foundation
Hansen Leaders of Tomorrow,Unknown deadline,500,"Applicant must be a graduating senior from a high school in the 26-county area of northwest Kansas, have a minimum 3.5 GPA, and plan on attending an accredited school in Kansas.","Cheyenne, Cloud, Decatur, Ellis, Ellsworth, Gove, Graham, Jewell, Lincoln, Logan, Mitchell, Norton, Osborne, Ottawa, Phillips, Rawlins, Republic, Rooks, Russell, Saline, Sheridan, Sherman, Smith, Thomas, Trego, Wallace",['High school senior'],https://www.collegescholarships.org/financial-aid/scholarship/hansen-leaders-of-tomorrow
Franklin Lindsay Loan,Unknown deadline,500,Applicant must be a U.S. citizen and a Texas resident attending a college or university full time in Texas and have a minimum 2.0 GPA (undergraduate) or a minimum 3.0 GPA (graduate). Selection is based upon academics. Financial need may be considered.,"Amarillo, Austin, Corpus Christi, Dallas, El Paso, Fort Worth, Houston, Kingsville, Lubbock, San Antonio, Texarkana, Tyler, Victoria","['College senior', 'College sophomore', 'College junior']",https://www.collegescholarships.org/financial-aid/scholarship/franklin-lindsay-loan
Daniel Ashley and Irene Houston Jewell Foundation Scholarship,Unknown deadline,500,"Applicant must be a graduate of Gordon Lee Memorial High School in Chickamauga, Ga.",Chickamauga,"['College freshman', 'College sophomore', 'College senior', 'College junior']",https://www.collegescholarships.org/financial-aid/scholarship/daniel-ashley-and-irene-houston-jewell-foundation-scholarship
Northern Virginia Urban League Scholarship,Unknown deadline,500,"Applicant must be an African-American high school senior who is graduating from an accredited public or private high school in Alexandria, Arlington, Loudon, Prince William, or Fairfax County. Applicant must have been accepted to, or have applied to an accredited college or university in the United States and plan to enroll as a full-time student in a program leading to a bachelor&#039;s degree. Minimum 2.5 GPA and demonstration of communication skills, leadership skills, and community involvement are required.","Alexandria City, Arlington, Fairfax, Loudoun, Prince William",['High school senior'],https://www.collegescholarships.org/financial-aid/scholarship/northern-virginia-urban-league-scholarship
Albert Shanker College Scholarship,Unknown deadline,500,Applicant must be from New York City who comes from a low-income family.,New York,['High school senior'],https://www.collegescholarships.org/financial-aid/scholarship/albert-shanker-college-scholarship
Graduate Student Scholarship,Unknown deadline,500,Applicant must be a full-time graduate student. Selection is based upon academic promise and outstanding academic achievement. One scholarship gives priority to foreign or minority students studying in the continental U.S.; another gives priority to disabled students; and another gives priority to a minority student. Master&#039;s level students must be enrolled in or accepted to a program ccredited by te American Speech-Language-Hearing Association Council on Academic Accreditation.,United States,"['Doctoral-level study', 'Master&#039;s-level study']",https://www.collegescholarships.org/financial-aid/scholarship/graduate-student-scholarship
Graduate Student Scholarship for a Minority Student,Unknown deadline,500,"Applicant must be a U.S. citizen, a minority, and be accepted for full-time study in a graduate program. Applicant must submit a formal application. Master&#039;s level students must be enrolled in or accepted to a program accredited by te American Speech-Language-Hearing Association Council on Academic Accreditation.",No Geographic Restrictions,"['Doctoral-level study', 'Master&#039;s-level study']",https://www.collegescholarships.org/financial-aid/scholarship/graduate-student-scholarship-for-a-minority-student
Dorothy Lemke Howarth Scholarship,Unknown deadline,500,"Applicant must be a U.S. citizen, a woman, and have a minimum 3.0 GPA. Applicant must be in an ABET-accredited engineering program, engineering at SWE-approved institution, or computer science in a CSAB-accredited program or at an ABET-accredited or SWE-approved institution.",No Geographic Restrictions,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/dorothy-lemke-howarth-scholarship
Boy Scout of the Year Scholarship,Unknown deadline,500,"Applicant must be a Boy Scout who exhibits outstanding service to his religious institution, school, and community and has received the Eagle Scout Award. Selection is by the Boy Scout Committee. Award must be used in state of Iowa.",Iowa,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/boy-scout-of-the-year-scholarship
Mortar Board National Foundation Fellowship,Unknown deadline,500,Applicant must be a Mortarboard member or alumni.,No Geographic Restrictions,['College senior'],https://www.collegescholarships.org/financial-aid/scholarship/mortar-board-national-foundation-fellowship
Trent R. Dames &amp; William W. Moore Fellowship,Unknown deadline,500,"Awarded on a competitive basis for a proposed research project for the exploration of new applications of geotechnical engineering or the earth sciences to social, economic, environmental, and political issues.",No Geographic Restrictions,"['Master&#039;s-level study', 'Other postgraduate-level study', 'Doctoral-level study']",https://www.collegescholarships.org/financial-aid/scholarship/trent-r-dames-william-w-moore-fellowship
Samuel Fletcher Tapman ASCE Student Chapter/Club Scholarship,Unknown deadline,500,"Applicant must be an ASCE National Student Member; not more than two applications per student chapter may be submitted. Selection is based upon the appraisal of the applicant&#039;s justification of the award, educational plan, academic performance and standing, potential for development, leadership capacity, and financial need.",No Geographic Restrictions,"['College freshman', 'College senior', 'College sophomore', 'College junior']",https://www.collegescholarships.org/financial-aid/scholarship/samuel-fletcher-tapman-asce-student-chapterclub-scholarship
AGC Education and Research Foundation Graduate Award,Unknown deadline,500,"Applicant must be a college senior enrolled in an ABET or ACCE-accredited (or candidate status) construction or civil engineering program, or possess an undergraduate construction or civil engineering degree from such an accredited program. Applicant must be enrolled or planning to enroll as a full-time student in a construction graduate degree program or part-time student in one of the sponsor&#039;s recognized master&#039;s programs for the fall term; one full academic year is required to remain in the applicant&#039;s schooling. Application, evaluation forms, and transcript are required.",United States,"['Master&#039;s-level study', 'College senior', 'Doctoral-level study']",https://www.collegescholarships.org/financial-aid/scholarship/agc-education-and-research-foundation-graduate-award
AGC Education and Research Foundation Undergraduate Scholarship,Unknown deadline,500,"Applicant must be a college sophomore or junior enrolled or planning to enroll in a full-time, four- or five-year ABET or ACCE-accredited construction management, or construction-related engineering program. Application, evaluation forms, and transcript are required.",United States,"['College senior', 'College junior', 'College sophomore']",https://www.collegescholarships.org/financial-aid/scholarship/agc-education-and-research-foundation-undergraduate-scholarship
John C. Robbins Scholarship,Unknown deadline,500,Applicant must have a major that is considered beneficial to the New York State water works. Selection is based upon academic achievement and extracurricular activities.,New York,"['College senior', 'College junior']",https://www.collegescholarships.org/financial-aid/scholarship/john-c-robbins-scholarship
Virginia Museum of Fine Arts Fellowship,Unknown deadline,500,"Applicant must be a U.S. citizen or permanent U.S. resident, must have been a resident of Virginia for at least one year prior to the deadline, must be enrolled full time at an accredited college, university, or school of the arts, and must submit 10 slides of artwork for art, three films for film/video, or three research papers for art history.",Virginia,"['Master&#039;s-level study', 'College senior', 'Doctoral-level study', 'College sophomore', 'College freshman', 'College junior']",https://www.collegescholarships.org/financial-aid/scholarship/virginia-museum-of-fine-arts-fellowship
Henry Luce Foundation/ACLS Dissertation Fellowship in American Art History,Unknown deadline,500,"Applicant must be a U.S. citizen, be a Ph.D. candidate, have completed all requirements for the Ph.D. except the dissertation, and have a dissertation topic focused on the history of visual arts of the U.S. Applicant must be enrolled at a U.S. institution. Applications must be submitted through the ACLS Online Fellowship Application system (OFA). OFA is accessible through the Fellowship and Grant Programs section of the web site.",No Geographic Restrictions,"['Master&#039;s-level study', 'Doctoral-level study']",https://www.collegescholarships.org/financial-aid/scholarship/henry-luce-foundationacls-dissertation-fellowship-in-american-art-history
Post-Rabbinic Scholarship,Unknown deadline,500,"Applicant must be a recently ordained rabbi. Award looks to help recipient obtain advanced training as a judge on rabbinical courts, heads of institutions of higher learning, or other advanced religious leadership positions.",No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/post-rabbinic-scholarship
General Mills Inc. James Ford Bell Graduate Scholarship,Unknown deadline,500,Applicant must have a minimum 3.0 GPA and major in the food science or food technology fields.,No Geographic Restrictions,"['Doctoral-level study', 'Master&#039;s-level study']",https://www.collegescholarships.org/financial-aid/scholarship/general-mills-inc-james-ford-bell-graduate-scholarship
Institute of Food Technologists Graduate Scholarship,Unknown deadline,500,"Applicant must have a minimum 3.0 GPA, conduct research in the area of food science or food technology and must demonstrate an interest in research.",No Geographic Restrictions,"['Master&#039;s-level study', 'Doctoral-level study']",https://www.collegescholarships.org/financial-aid/scholarship/institute-of-food-technologists-graduate-scholarship
Dr. Charles A. Vernale Student Loan Award,Unknown deadline,500,Applicant must be a Connecticut resident with a predoctoral degree in dental medicine.,No Geographic Restrictions,['High school junior'],https://www.collegescholarships.org/financial-aid/scholarship/dr-charles-a-vernale-student-loan-award
AASA Educational Administration Scholarship,Unknown deadline,500,Applicant must be an outstanding graduate student in school administration who intends to make school superintendency a career.,No Geographic Restrictions,"['Master&#039;s-level study', 'Other postgraduate-level study', 'Doctoral-level study']",https://www.collegescholarships.org/financial-aid/scholarship/aasa-educational-administration-scholarship
Christa McAuliffe Memorial Scholarship,Unknown deadline,500,Applicant must be a recent graduate of a New Hampshire high school who will be entering his or her first year of college to study education. Applicant must have a minimum grade average of &quot;B&quot;.,New Hampshire,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/christa-mcauliffe-memorial-scholarship
Educational Leadership Graduate Fellowship,Unknown deadline,500,"Applicant must be a full-time graduate student in any field of education and a member in good standing of Phi Delta Kappa. Selection based upon written essay, transcript, recommendation, and involvement with Phi Delta Kappa.",No Geographic Restrictions,"['Master&#039;s-level study', 'Other postgraduate-level study', 'Doctoral-level study']",https://www.collegescholarships.org/financial-aid/scholarship/educational-leadership-graduate-fellowship
Indiana Minority Teacher Scholarship,Unknown deadline,500,Applicant must be a black or Hispanic Indiana resident with a minimum 2.0 GPA who agrees to teach in Indiana upon certification. Award may be used at Indiana schools only.,Indiana,"['College freshman', 'College sophomore', 'College senior', 'College junior']",https://www.collegescholarships.org/financial-aid/scholarship/indiana-minority-teacher-scholarship
Phi Delta Kappa Scholarship Grant for Prospective Educators,Unknown deadline,500,"Applicant must be a current high school senior or college undergraduate student looking to, or already majoring in education. Selection is based upon recommendations, written essay, academic standing, and leadership activities.",No Geographic Restrictions,['High school senior'],https://www.collegescholarships.org/financial-aid/scholarship/phi-delta-kappa-scholarship-grant-for-prospective-educators
Underwood-Smith Teacher Scholarship,Unknown deadline,500,"Applicant must be a West Virginia resident who are or will be enrolled on a full-time basis in an accredited institution of higher education in West Virginia pursuing a course of study leading to a teacher certificate at the pre-school, middle, or secondary level in West Virginia.",West Virginia,"['College junior', 'College senior', 'Master&#039;s-level study']",https://www.collegescholarships.org/financial-aid/scholarship/underwood-smith-teacher-scholarship
ASNE Scholarship,Unknown deadline,500,"Applicant must be enrolled in a full-time, undergraduate or master&#039;s degree program or be a co-op student at an accredited college or university. Applicant must demonstrate or express a genuine interest in a career in naval engineering and be a U.S. citizen. Selection is based upon academic record, work history, professional promise, extracurricular activities, and recommendations. Financial need may be considered. Graduate applicants must be members of ASNE.",No Geographic Restrictions,"['Master&#039;s-level study', 'College senior']",https://www.collegescholarships.org/financial-aid/scholarship/asne-scholarship
Willis H. Carrier Scholarship,Unknown deadline,500,"Applicant must be a full-time student enrolled in a program accredited by the Accreditation Board for Engineering and Technology (ABET), or a substantially equivalent program outside the United States, leading to a Bachelor of Science or Engineering degree. Selection is based upon financial need, faculty recommendations, leadership ability, and potential service to the HVAC and/or refrigeration profession.",No Geographic Restrictions,"['College sophomore', 'College junior', 'College freshman', 'College senior']",https://www.collegescholarships.org/financial-aid/scholarship/willis-h-carrier-scholarship
ASHRAE Scholarship,Unknown deadline,500,"Selection is based upon financial need, minimum 3.0 college GPA, faculty recommendations, leadership ability, and potential service to the HVAC and/or refrigeration profession. Applicant must be enrolled full time in an ABET-accredited program.",No Geographic Restrictions,"['College junior', 'College sophomore', 'High school senior', 'College senior', 'College freshman']",https://www.collegescholarships.org/financial-aid/scholarship/ashrae-scholarship
Men&#039;s Auxiliary of the SWE (MASWE) Scholarship,Unknown deadline,500,"Applicant must be a woman and have a minimum 3.0 GPA. Applicant must demonstrate financial need and be in an ABET-accredited engineering program, engineering at SWE-approved institution, or computer science in a CSAB-accredited program or at an ABET-accredited or SWE-approved institution.",No Geographic Restrictions,"['College junior', 'College sophomore', 'College senior']",https://www.collegescholarships.org/financial-aid/scholarship/mens-auxiliary-of-the-swe-maswe-scholarship
Ivy Parker Memorial Scholarship,Unknown deadline,500,"Applicant must be a woman, have a minimum 3.0 GPA, and demonstrate financial need. Applicant must be in an ABET-accredited engineering program, engineering at SWE-approved institution, or computer science in a CSAB-accredited program or at an ABET-accredited or SWE-approved institution.",No Geographic Restrictions,"['College junior', 'College senior']",https://www.collegescholarships.org/financial-aid/scholarship/ivy-parker-memorial-scholarship
Olive Lynn Salembier Reentry Scholarship,Unknown deadline,500,"Applicant must be a woman who has been out of the engineering job market for a minimum of two years. Applicant must be in an ABET-accredited engineering program, engineering at SWE-approved colleges and universities, or computer science in a CSAB-accredited program or at an ABET-accredited or SWE-approved institution. Scholarship is to aid in obtaining the credentials necessary to re-enter the job market as an engineer.",No Geographic Restrictions,"['Master&#039;s-level study', 'College freshman', 'College senior', 'Doctoral-level study', 'College sophomore', 'College junior']",https://www.collegescholarships.org/financial-aid/scholarship/olive-lynn-salembier-reentry-scholarship
Chinese Professional Club of Houston Scholarship,Unknown deadline,500,Applicant must be of Chinese descent and reside in the greater Houston metropolitan area.,Houston,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/chinese-professional-club-of-houston-scholarship
Jose Marti Scholarship Challenge Grant,Unknown deadline,500,"Applicant must be a Hispanic-American student who is enrolled for a minimum of 12 credit hours for undergraduate study or nine credit hours for graduate study. Application for undergraduate study must be submitted during the applicant&#039;s senior year of high school. Graduate students may apply; however priority for the scholarship is given to high school seniors. Applicant must not owe a repayment or be in default under any state or federal grant, loan, or scholarship program unless satisfactory arrangements to repay have been made. FAFSA is required.",Florida,"['College junior', 'College senior', 'College freshman', 'College sophomore']",https://www.collegescholarships.org/financial-aid/scholarship/jose-marti-scholarship-challenge-grant
State Aid to Native Americans,Unknown deadline,775,"Applicant must be on an official tribal roll of a New York tribe or the child of an enrolled member, be a New York resident, maintain good academic standing, and be enrolled in an approved post-secondary program in New York. Awards are made to all eligible applicants. Pro-rated awards are available for students taking less than twelve credits.",New York,"['College sophomore', 'College freshman', 'College junior', 'College senior']",https://www.collegescholarships.org/financial-aid/scholarship/state-aid-to-native-americans
Young American Creative Patriotic Art Contest,Unknown deadline,500,"Applicant must attend school in the same state as the sponsoring Auxiliary and submit artwork for a creative, patriotic art competition.",No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/young-american-creative-patriotic-art-contest
